Player,Team,Age,G,MPG,MP,PER,PPER,Year,Team PER,PPER
Jayson Tatum,BOS,19,80,30.475,2438,15.3,16.2,2018,14.48,15.78
Al Horford,BOS,31,72,31.625,2277,17.6,20.1,2018,,
Jaylen Brown,BOS,21,70,30.74285714,2152,13.6,16,2018,,
Terry Rozier,BOS,23,80,25.85,2068,15.1,17.3,2018,,
Marcus Smart,BOS,23,54,29.88888889,1614,10.8,9.3,2018,,
Ben Simmons,PHI,21,81,33.72839506,2732,20,16.6,2018,17.5,15.56
Robert Covington,PHI,27,80,31.65,2532,12.9,9.6,2018,,
Dario Saric,PHI,23,78,29.61538462,2310,15.8,18.6,2018,,
J.J. Redick,PHI,33,70,30.22857143,2116,15.9,14.9,2018,,
Joel Embiid,PHI,23,63,30.34920635,1912,22.9,18.1,2018,,
LeBron James,CLE,33,82,36.90243902,3026,28.6,32.2,2018,17.56,15.94
J.R. Smith,CLE,32,80,28.05,2244,8.4,6.7,2018,,
Jeff Green,CLE,31,78,23.43589744,1828,14.8,10.3,2018,,
Kevin Love,CLE,29,59,27.98305085,1651,22.4,15.5,2018,,
Tristan Thompson,CLE,26,19,21.89473684,416,13.6,15,2018,,
Thaddeus Young,IND,29,81,32.18518519,2607,14.8,17.9,2018,16.32,14.98
Victor Oladipo,IND,25,75,34.02666667,2552,23.1,22,2018,,
Bojan Bogdanovic,IND,28,80,30.8,2464,13.9,7.5,2018,,
Cory Joseph,IND,26,82,26.95121951,2210,11,12.7,2018,,
Darren Collison,IND,30,69,29.24637681,2018,18.8,14.8,2018,,
Josh Richardson,MIA,24,81,33.19753086,2689,13.6,12.8,2018,15.96,11.3
Goran Dragic,MIA,31,75,31.70666667,2378,16.6,14.3,2018,,
Tyler Johnson,MIA,25,72,28.5,2052,13,14.4,2018,,
Wayne Ellington,MIA,30,77,26.50649351,2041,12.5,8.1,2018,,
Hassan Whiteside,MIA,28,54,25.25925926,1364,24.1,6.9,2018,,
Khris Middleton,MIL,26,82,36.36585366,2982,17.4,22.5,2018,17.5,14.68
Giannis Antetokounmpo,MIL,23,75,36.74666667,2756,27.3,26.6,2018,,
Eric Bledsoe,MIL,28,71,31.53521127,2239,20,12.9,2018,,
Tony Snell,MIL,26,75,27.37333333,2053,8.5,3.5,2018,,
Malcolm Brogdon,MIL,25,48,29.91666667,1436,14.3,7.9,2018,,
Bradley Beal,WAS,24,82,36.30487805,2977,18.4,17,2018,16.74,15.84
Otto Porter,WAS,24,77,31.58441558,2432,18.3,12.9,2018,,
John Wall,WAS,27,41,34.3902439,1410,19.1,24.2,2018,,
Marcin Gortat,WAS,33,82,25.30487805,2075,14.7,11.6,2018,,
Markieff Morris,WAS,28,73,26.95890411,1968,13.2,13.5,2018,,
James Harden,HOU,28,72,35.43055556,2551,29.8,24.9,2018,21.14,18.3
Trevor Ariza,HOU,32,67,33.86567164,2269,11.8,7.6,2018,,
Eric Gordon,HOU,29,69,31.2173913,2154,15.2,12.1,2018,,
Clint Capela,HOU,23,74,27.48648649,2034,24.5,24.1,2018,,
Chris Paul,HOU,32,58,31.84482759,1847,24.4,22.8,2018,,
Klay Thompson,GSW,27,73,34.32876712,2506,16,13.9,2018,19.5,18.44
Kevin Durant,GSW,29,68,34.19117647,2325,26,25.1,2018,,
Draymond Green,GSW,27,70,32.67142857,2287,16.1,16.2,2018,,
Stephen Curry,GSW,29,51,31.98039216,1631,28.2,22.3,2018,,
Andre Iguodala,GSW,34,64,25.34375,1622,11.2,14.7,2018,,
CJ McCollum,POR,26,81,36.08641975,2923,17,19.6,2018,16.66,16.34
Damian Lillard,POR,27,73,36.57534247,2670,25.2,9.5,2018,,
Jusuf Nurkic,POR,23,79,26.43037975,2088,19.2,23,2018,,
