Rk,Player,Team,Age,G,MP,PER,Playoff PER,,,,,,,,,,,,,,,,,,,
1,Russell Westbrook,OKC,28,81,2802,30.6,27.7,,,,,,,,,,,,,,,,,,,
2,Steven Adams,OKC,23,80,2389,16.5,15.4,,,,,,,,,,,,,,,,,,,
3,Andre Roberson,OKC,25,79,2376,9.6,16.2,,,,,,,,,,,,,,,,,,,
4,Victor Oladipo,OKC,24,67,2222,13.6,6.9,,,,,,,,,,,,,,,,,,,
5,Domantas Sabonis,OKC,20,81,1632,6.9,17.5,,,,,,,,,,,,,,,,,,,
1,Marc Gasol,MEM,32,74,2531,20.3,17.1,,,,,,,,,,,,,,,,,,,
2,Mike Conley,MEM,29,69,2292,23.2,27.4,,,,,,,,,,,,,,,,,,,
3,JaMychal Green,MEM,26,77,2101,13.5,8.8,,,,,,,,,,,,,,,,,,,
4,Zack Randolph,MEM,35,71,1914,18.5,11.6,,,,,,,,,,,,,,,,,,,
5,Vince Carter,MEM,40,73,1799,11.7,8.1,,,,,,,,,,,,,,,,,,,
1,CJ McCollum,POR,25,80,2796,19.9,,,,,,,,,,,,,,,,,,,,
2,Damian Lillard,POR,26,75,2694,24.1,,,,,,,,,,,,,,,,,,,,
3,Allen Crabbe,POR,24,79,2254,11.6,,,,,,,,,,,,,,,,,,,,
4,Maurice Harkless,POR,23,77,2223,13.1,,,,,,,,,,,,,,,,,,,,
5,Al-Farouq Aminu,POR,26,61,1773,11.3,,,,,,,,,,,,,,,,,,,,
